"fdc_id","data_type","description","food_category_id","publication_date"
"336854","survey_fndds_food","Beef, stew meat, cooked, lean and fat eaten","","2019-04-01"
"336855","survey_fndds_food","Beef, stew meat, cooked, lean only eaten","","2019-04-01"
"336860","survey_fndds_food","Beef brisket, cooked, NS as to fat eaten","","2019-04-01"
"336861","survey_fndds_food","Beef brisket, cooked, lean and fat eaten","","2019-04-01"
"336862","survey_fndds_food","Beef brisket, cooked, lean only eaten","","2019-04-01"
"336863","survey_fndds_food","Beef, sandwich steak (flaked, formed, thinly sliced)","","2019-04-01"
"336864","survey_fndds_food","Ground beef, raw","","2019-04-01"
"336865","survey_fndds_food","Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)","","2019-04-01"
"336866","survey_fndds_food","Ground beef or patty, breaded, cooked","","2019-04-01"
"336867","survey_fndds_food","Ground beef patty, cooked (for fast food sandwiches)","","2019-04-01"
"336868","survey_fndds_food","Ground beef, less than 80% lean, cooked (formerly regular)","","2019-04-01"
"336869","survey_fndds_food","Ground beef, 80% - 84% lean, cooked (formerly lean)","","2019-04-01"
"336870","survey_fndds_food","Ground beef, 85% - 89% lean, cooked (formerly extra lean)","","2019-04-01"
"336871","survey_fndds_food","Ground beef, 90% - 94% lean, cooked","","2019-04-01"
"336872","survey_fndds_food","Ground beef, 95% or more lean, cooked","","2019-04-01"
"336873","survey_fndds_food","Ground beef with textured vegetable protein, cooked","","2019-04-01"
"336883","survey_fndds_food","Pork, NS as to cut, cooked, NS as to fat eaten","","2019-04-01"
"336884","survey_fndds_food","Pork, NS as to cut, cooked, lean and fat eaten","","2019-04-01"
"336885","survey_fndds_food","Pork, NS as to cut, cooked, lean only eaten","","2019-04-01"
"336886","survey_fndds_food","Pork, NS as to cut, fried, NS as to fat eaten","","2019-04-01"
"336887","survey_fndds_food","Pork, NS as to cut, fried, lean and fat eaten","","2019-04-01"
"336888","survey_fndds_food","Pork, NS as to cut, fried, lean only eaten","","2019-04-01"
"336889","survey_fndds_food","Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten","","2019-04-01"
"336890","survey_fndds_food","Pork, NS as to cut, breaded or floured, fried, lean and fat eaten","","2019-04-01"
"336891","survey_fndds_food","Pork, NS as to cut, breaded or floured, fried, lean only eaten","","2019-04-01"
"336892","survey_fndds_food","Pork, pickled, NS as to cut","","2019-04-01"
"336893","survey_fndds_food","Pork, ground or patty, cooked","","2019-04-01"
"336894","survey_fndds_food","Pork, ground or patty, breaded, cooked","","2019-04-01"
